date_,cms_product_id,product_name,l0_category,l1_category,unit,city_name,blinkit_mrp,blinkit_sp,zeptosupersaver_mrp,zss_sp,zepto_mrp,zepto_sp,swiggy_mrp,swiggy_sp,blinkit_wlp,brand_fund_value,zeptosupersaver_competitive_status,zepto_competitive_status,swiggy_competitive_status,min_competitive_status,percentage_diff_vs_min,competitive_score_vs_min,latitude,longitude
2025-11-25,526627,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,mumbai,518,489,500,484,500,484,519,498,0.0,0.0,competitive,competitive,expensive,competitive,2.98,3,19.076,72.8777
2025-11-25,411660,Surf Excel Easy Wash,Home Care,Detergents,1 kg,mumbai,126,105,122,105,122,105,130,107,0.0,0.0,competitive,competitive,expensive,competitive,3.58,3,19.076,72.8777
2025-11-25,402739,Surf Excel Easy Wash,Home Care,Detergents,1 kg,mumbai,53,50,35,33,35,33,60,55,0.0,0.0,competitive,expensive,competitive,competitive,7.42,2,19.076,72.8777
2025-11-25,330332,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,mumbai,542,503,532,515,532,515,550,542,0.0,0.0,competitive,expensive,competitive,competitive,2.87,3,19.076,72.8777
2025-11-25,718193,Surf Excel Easy Wash,Home Care,Detergents,1 kg,mumbai,226,196,217,216,217,216,232,213,0.0,0.0,expensive,expensive,expensive,expensive,10.97,3,19.076,72.8777
2025-11-25,762966,Surf Excel Easy Wash,Home Care,Detergents,1 kg,mumbai,380,354,372,358,372,358,385,377,0.0,0.0,expensive,competitive,expensive,competitive,17.32,2,19.076,72.8777
2025-11-25,679080,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,mumbai,434,431,430,429,430,429,450,436,0.0,0.0,competitive,competitive,expensive,competitive,16.2,2,19.076,72.8777
2025-11-25,703369,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,mumbai,130,96,126,114,126,114,145,136,0.0,0.0,competitive,competitive,expensive,competitive,1.83,2,19.076,72.8777
2025-11-25,648365,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,mumbai,360,358,343,343,343,343,375,361,0.0,0.0,expensive,competitive,competitive,competitive,14.78,1,19.076,72.8777
2025-11-25,953879,Amul Butter,Dairy & Breakfast,Butter,500 g,mumbai,586,553,580,573,580,573,590,567,0.0,0.0,expensive,expensive,competitive,competitive,12.24,2,19.076,72.8777
2025-11-25,539229,Amul Butter,Dairy & Breakfast,Butter,500 g,bangalore,557,517,545,539,545,539,569,563,0.0,0.0,expensive,expensive,expensive,expensive,5.55,0,12.9716,77.5946
2025-11-25,243351,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,bangalore,138,133,134,115,134,115,155,148,0.0,0.0,competitive,competitive,competitive,competitive,3.59,2,12.9716,77.5946
2025-11-25,329124,Surf Excel Easy Wash,Home Care,Detergents,1 kg,bangalore,539,520,536,532,536,532,551,544,0.0,0.0,competitive,competitive,expensive,competitive,9.46,2,12.9716,77.5946
2025-11-25,579102,Amul Butter,Dairy & Breakfast,Butter,500 g,bangalore,151,129,149,130,149,130,157,150,0.0,0.0,competitive,expensive,expensive,competitive,17.11,0,12.9716,77.5946
2025-11-25,839930,Amul Butter,Dairy & Breakfast,Butter,500 g,bangalore,364,361,355,337,355,337,374,351,0.0,0.0,competitive,expensive,competitive,competitive,7.7,0,12.9716,77.5946
2025-11-25,180952,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,bangalore,187,178,170,170,170,170,203,190,0.0,0.0,expensive,competitive,competitive,competitive,12.29,3,12.9716,77.5946
2025-11-25,843221,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,bangalore,480,475,475,465,475,465,500,488,0.0,0.0,competitive,competitive,expensive,competitive,15.01,0,12.9716,77.5946
2025-11-25,463978,Basmati Rice Premium,Staples,Food Grains,5 kg,bangalore,86,74,67,63,67,63,100,78,0.0,0.0,expensive,competitive,competitive,competitive,15.51,2,12.9716,77.5946
2025-11-25,459096,Surf Excel Easy Wash,Home Care,Detergents,1 kg,bangalore,600,571,595,585,595,585,620,599,0.0,0.0,expensive,competitive,competitive,competitive,5.19,1,12.9716,77.5946
2025-11-25,615955,Amul Butter,Dairy & Breakfast,Butter,500 g,bangalore,598,583,597,584,597,584,603,580,0.0,0.0,competitive,expensive,expensive,competitive,0.57,0,12.9716,77.5946
2025-11-25,653081,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,kolkata,529,516,510,498,510,498,531,512,0.0,0.0,competitive,competitive,competitive,competitive,0.52,0,22.5726,88.3639
2025-11-25,972839,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,kolkata,509,477,509,508,509,508,514,506,0.0,0.0,expensive,expensive,competitive,competitive,13.99,1,22.5726,88.3639
2025-11-25,141009,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,kolkata,307,301,301,284,301,284,317,293,0.0,0.0,expensive,competitive,expensive,competitive,3.84,0,22.5726,88.3639
2025-11-25,602388,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,kolkata,167,143,162,157,162,157,181,172,0.0,0.0,competitive,expensive,competitive,competitive,13.74,2,22.5726,88.3639
2025-11-25,938213,Surf Excel Easy Wash,Home Care,Detergents,1 kg,kolkata,570,568,561,547,561,547,584,573,0.0,0.0,competitive,expensive,competitive,competitive,15.04,1,22.5726,88.3639
2025-11-25,304327,Basmati Rice Premium,Staples,Food Grains,5 kg,kolkata,378,353,359,350,359,350,384,375,0.0,0.0,expensive,competitive,competitive,competitive,3.06,1,22.5726,88.3639
2025-11-25,680541,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,kolkata,492,457,473,456,473,456,492,476,0.0,0.0,expensive,expensive,expensive,expensive,6.81,3,22.5726,88.3639
2025-11-25,222817,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,kolkata,96,77,85,65,85,65,111,105,0.0,0.0,expensive,expensive,expensive,expensive,15.4,2,22.5726,88.3639
2025-11-25,879511,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,kolkata,265,253,259,251,259,251,283,273,0.0,0.0,competitive,expensive,competitive,competitive,0.53,0,22.5726,88.3639
2025-11-25,950797,Amul Butter,Dairy & Breakfast,Butter,500 g,kolkata,256,251,244,239,244,239,261,240,0.0,0.0,competitive,competitive,expensive,competitive,15.19,3,22.5726,88.3639
2025-11-25,129084,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,chennai,494,484,491,491,491,491,494,481,0.0,0.0,competitive,expensive,expensive,competitive,10.99,2,13.0827,80.2707
2025-11-25,806619,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,chennai,505,468,486,468,486,468,508,500,0.0,0.0,expensive,expensive,competitive,competitive,17.31,2,13.0827,80.2707
2025-11-25,753706,Basmati Rice Premium,Staples,Food Grains,5 kg,chennai,545,540,538,535,538,535,555,544,0.0,0.0,expensive,expensive,expensive,expensive,12.04,2,13.0827,80.2707
2025-11-25,434459,Amul Butter,Dairy & Breakfast,Butter,500 g,chennai,596,570,590,579,590,579,606,601,0.0,0.0,competitive,expensive,competitive,competitive,8.62,2,13.0827,80.2707
2025-11-25,510823,Surf Excel Easy Wash,Home Care,Detergents,1 kg,chennai,357,335,339,332,339,332,371,354,0.0,0.0,competitive,competitive,expensive,competitive,8.69,3,13.0827,80.2707
2025-11-25,711194,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,chennai,41,15,21,17,21,17,50,39,0.0,0.0,expensive,expensive,competitive,competitive,17.53,0,13.0827,80.2707
2025-11-25,738228,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,chennai,313,309,302,285,302,285,317,307,0.0,0.0,expensive,competitive,competitive,competitive,12.58,3,13.0827,80.2707
2025-11-25,551147,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,chennai,116,78,103,94,103,94,130,118,0.0,0.0,expensive,expensive,competitive,competitive,6.09,3,13.0827,80.2707
