date_,cms_product_id,product_name,l0_category,l1_category,unit,city_name,blinkit_mrp,blinkit_sp,zeptosupersaver_mrp,zss_sp,zepto_mrp,zepto_sp,swiggy_mrp,swiggy_sp,blinkit_wlp,brand_fund_value,zeptosupersaver_competitive_status,zepto_competitive_status,swiggy_competitive_status,min_competitive_status,percentage_diff_vs_min,competitive_score_vs_min,latitude,longitude
2025-11-25,701001,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,gurgaon,58,44,56,42,59,45,61,47,0,0,competitive,competitive,expensive,competitive,3.12,1,28.4632,77.0181
2025-11-25,701002,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,gurgaon,42,35,40,33,43,36,44,37,0,0,competitive,competitive,expensive,competitive,2.77,1,28.4559,77.0314
2025-11-25,701003,Basmati Rice Premium,Staples,Food Grains,5 kg,gurgaon,530,490,520,480,540,498,550,500,0,10,competitive,expensive,expensive,competitive,4.21,1,28.4688,77.0227
2025-11-25,701004,Amul Butter,Dairy & Breakfast,Butter,500 g,gurgaon,260,245,255,240,265,250,270,252,0,0,competitive,competitive,expensive,competitive,1.94,1,28.4521,77.0359
2025-11-25,701005,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,gurgaon,78,65,76,63,79,66,82,67,0,0,competitive,competitive,expensive,competitive,3.01,1,28.4614,77.0125
2025-11-25,701006,Surf Excel Easy Wash,Home Care,Detergents,1 kg,gurgaon,115,99,110,95,118,102,120,104,0,5,competitive,expensive,expensive,competitive,5.44,1,28.4703,77.0288
2025-11-25,701007,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,gurgaon,180,160,175,155,182,162,185,165,0,8,competitive,competitive,expensive,competitive,2.50,1,28.4577,77.0203
2025-11-25,701008,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,gurgaon,52,48,50,45,53,49,54,50,0,0,competitive,competitive,competitive,competitive,0.00,0,28.4629,77.0348
2025-11-25,701009,Chakki Fresh Atta,Staples,Flours,5 kg,gurgaon,245,220,240,215,248,225,250,230,0,0,competitive,competitive,expensive,competitive,2.30,1,28.4485,77.0271
2025-11-25,701010,Coca Cola 1.25L,Beverages,Soft Drinks,1.25 L,gurgaon,78,70,74,68,80,72,83,73,0,5,competitive,competitive,expensive,competitive,3.95,1,28.4741,77.0196
2025-11-25,701011,Tomato Hybrid,Vegetables & Fruits,Fresh Vegetables,500 g,gurgaon,59,46,57,44,60,47,62,48,0,0,competitive,competitive,expensive,competitive,2.14,1,28.4667,77.0149
2025-11-25,701012,Onion Red,Vegetables & Fruits,Fresh Vegetables,1 kg,gurgaon,41,34,39,32,42,35,43,36,0,0,competitive,competitive,expensive,competitive,3.12,1,28.4513,77.0248
2025-11-25,701013,Basmati Rice Premium,Staples,Food Grains,5 kg,gurgaon,525,485,515,475,535,495,545,498,0,10,competitive,competitive,expensive,competitive,3.31,1,28.4725,77.0322
2025-11-25,701014,Amul Butter,Dairy & Breakfast,Butter,500 g,gurgaon,262,243,258,238,268,248,271,249,0,0,competitive,competitive,expensive,competitive,2.21,1,28.4604,77.0381
2025-11-25,701015,Banana Yelakki,Vegetables & Fruits,Fruits,1 kg,gurgaon,80,68,77,65,81,69,84,71,0,0,competitive,competitive,expensive,competitive,2.94,1,28.4538,77.0173
2025-11-25,701016,Surf Excel Easy Wash,Home Care,Detergents,1 kg,gurgaon,118,102,114,98,120,104,122,106,0,5,competitive,expensive,expensive,competitive,4.62,1,28.4694,77.0259
2025-11-25,701017,Fortune Sunflower Oil,Oil & Ghee,Edible Oils,1 L,gurgaon,182,158,176,153,185,162,187,164,0,8,competitive,competitive,expensive,competitive,3.44,1,28.4565,77.0292
2025-11-25,701018,Maggi Masala Noodles,Snacks & Branded Foods,Instant Noodles,280 g,gurgaon,53,49,51,46,54,50,55,51,0,0,competitive,competitive,competitive,competitive,0.00,0,28.4651,77.0367
2025-11-25,701019,Chakki Fresh Atta,Staples,Flours,5 kg,gurgaon,242,218,238,214,246,222,248,224,0,0,competitive,competitive,expensive,competitive,2.72,1,28.4498,77.0210
2025-11-25,701020,Coca Cola 1.25L,Beverages,Soft Drinks,1.25 L,gurgaon,79,69,76,66,81,71,84,72,0,5,competitive,competitive,expensive,competitive,3.77,1,28.4712,77.0304
